"","Albania","Algeria","Argentina","Armenia","Australia","Austria","Bahrain","Bangladesh","Belgium","Benin","Bolivia","Botswana","Brazil","Bulgaria","Burundi","Cambodia","Cameroon","Canada","Central African Republic","Chile","China","Colombia","Costa Rica","Croatia","Cuba","Denmark","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Finland","France","Germany","Ghana","Greece","Guatemala","Haiti","Honduras","Hungary","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Latvia","Lesotho","Liberia","Lithuania","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Morocco","Mozambique","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Sierra Leone","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Tajikistan","Tanzania","Thailand","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Yemen","Zambia","Zimbabwe"
"GE_status","Medium","Low","Medium","Medium","Medium","High","Low","Low","Medium","Medium","Medium","High","Medium","High","Medium","Medium","Low","High","Low","Medium","Medium","Medium","Medium","High","High","High","Medium","Medium","Low","Medium","High","High","Medium","High","Medium","Medium","Low","Low","Medium","High","Low","Medium","Low","Low","Medium","Medium","Medium","Medium","Medium","Low","High","Low","Low","High","High","Medium","Low","High","Medium","Medium","Low","Low","Medium","Medium","High","High","Low","Medium","Medium","Low","High","High","Medium","Low","High","Low","Medium","Medium","Medium","Medium","High","Medium","High","Medium","Medium","Low","Medium","Low","Medium","High","High","High","Medium","Medium","Medium","High","Medium","Medium","Medium","Medium","Low","Medium","Low","Low","Medium","High","Low","High","High","Medium","Medium","Low","Low","Medium"
"1970","75.20734","53.19522","66.63145",NA,"65.85300","65.61132","55.96696","52.06848","64.59623","62.41076","61.57759","68.98721","61.22413","72.26803","65.91859","64.49605","55.33272","67.64470","60.62644","64.88492","67.53369","66.31504","66.53478",NA,"64.56197","67.66043","58.38852","60.42858","52.18906","61.27928",NA,"72.94361","66.24201","65.61357","61.31374","63.97019","59.05351","65.50161","60.73219","71.85643","52.94291","59.71245","53.14227","53.95802","63.57255","65.90427","62.57025","60.33839","66.67244","52.99204",NA,"58.71849","53.23768",NA,NA,"65.72472","56.35479",NA,"59.53429","58.93309","52.02477","56.16787","60.49281","61.43260",NA,"71.65629","53.91096","57.22153","65.31194","53.12669","64.44228","68.52551","53.76365","46.62114","66.64575","52.47831","62.61779","63.56948","65.12432","65.19156","73.61804","61.32611","70.97581",NA,"65.05717","52.13754","57.94654","56.85789","59.84767",NA,NA,"65.06277","61.05383","60.22399","59.46572","71.18265","64.43913",NA,"57.33361","68.68076","57.60358","64.92225","54.03251","59.71039","57.97954",NA,"58.72692","70.57550","67.32668","68.17805","60.21438","50.21427","58.25941","65.69242"
"1971","74.63924","53.45152","66.55437",NA,"64.37925","65.08326","54.22186","51.12118","66.22375","60.39634","61.40340","68.80137","66.30530","75.92568","66.86233","67.55921","57.65685","66.63298","61.90633","67.32798","66.01790","64.55992","62.81756",NA,"65.55293","69.18592","56.50740","62.68893","51.58967","59.73486",NA,"72.86391","67.48113","67.58561","60.36802","60.09392","56.47146","66.62391","63.33633","74.41479","51.60211","59.23256","55.43030","52.97881","63.11510","66.93292","62.00527","64.75513","65.69729","50.72750",NA,"60.18322","57.19621",NA,NA,"67.13473","57.02349",NA,"62.71448","57.51705","52.95290","55.57117","59.17119","63.70454",NA,"74.94944","55.14269","58.31964","65.50207","53.70124","66.61749","65.66755","55.86618","50.07539","66.14463","51.35372","63.46450","58.67500","62.57262","63.29845","72.81875","64.32752","65.73257",NA,"61.78296","52.02121","59.07000","58.60945","62.42108",NA,NA,"65.21554","61.37341","63.03755","60.46342","72.18504","66.18112",NA,"59.91000","64.54085","60.12671","62.49324","55.46191","57.73287","57.46835",NA,"57.64917","68.72231","69.05130","65.58423","58.86398","51.91873","62.11757","66.12685"
"1972","73.34176","55.52521","65.67225",NA,"65.11972","64.82088","55.73475","52.26804","65.70136","60.77702","59.15277","69.49452","62.65570","72.26495","63.56902","68.17247","58.81339","66.33467","64.42297","65.13754","67.16690","64.13404","63.45286",NA,"64.14658","71.94340","60.39420","60.43771","52.06810","60.62045",NA,"77.02973","65.70008","65.49697","60.88714","64.12157","56.88413","66.48259","61.48219","77.98441","49.60219","62.88825","55.47565","57.31532","62.94635","66.51926","65.11918","66.41094","65.59256","52.11036",NA,"57.31437","54.54284",NA,NA,"67.21753","59.64418",NA,"62.92390","59.52822","55.09116","54.89899","57.64980","62.59965",NA,"74.50307","53.90859","64.37672","66.45441","55.40562","68.60205","64.54161","59.65095","50.93410","68.48783","54.16611","60.36565","59.27401","61.42418","62.81860","72.85361","66.52776","70.14147",NA,"62.83625","56.09841","58.48130","56.97062","64.54054",NA,NA,"63.48949","59.78377","62.06432","61.04573","71.60541","67.53140",NA,"57.95077","64.82947","58.00101","62.39961","56.00558","56.19143","59.71346",NA,"57.80898","69.15829","69.05880","64.32772","60.36556","52.38413","56.19457","63.80853"
"1973","73.86468","53.28525","64.38893",NA,"65.07524","64.36306","58.12017","51.12756","67.77531","60.99703","63.61148","67.74893","62.79691","71.55977","66.02365","67.78851","60.04478","66.12203","64.16519","65.49395","66.31171","62.10981","63.25161",NA,"67.89334","70.19241","62.43554","60.29196","50.90619","60.05898",NA,"75.76865","68.03645","63.77149","61.71634","59.46763","56.79025","61.84584","58.59383","76.84199","53.07925","61.44025","58.57526","58.72852","63.01493","66.47770","64.48198","70.52467","66.87596","52.43576",NA,"60.80379","55.22159",NA,NA,"66.04680","56.60989",NA,"61.69137","60.12616","54.55956","55.86925","58.79003","61.82691",NA,"75.49056","54.34793","64.37522","68.73462","55.87111","67.53283","66.47749","57.92565","52.08387","71.26114","52.87689","57.80318","61.53617","62.32906","62.92959","72.09809","64.94853","73.40429",NA,"65.27486","52.70190","60.46949","53.83031","63.08192",NA,NA,"64.21013","61.89162","64.84600","62.31045","76.58173","70.74522",NA,"57.85239","67.06430","60.44144","64.81230","57.61261","56.25522","61.00229",NA,"57.80250","68.24053","71.55656","63.87233","60.90853","54.42285","56.90722","66.01066"
"1974","78.71827","52.80788","65.30497",NA,"64.49733","65.93072","59.62520","46.70059","68.43916","61.44677","61.80594","69.06568","62.36841","74.56269","65.86125","67.50064","58.73019","66.11168","58.89862","68.10351","65.11272","66.75962","64.67999",NA,"67.24808","72.07519","63.44879","60.96203","51.80781","64.54826",NA,"78.12482","65.59413","65.80600","63.50050","62.58612","60.01957","62.84890","59.63399","76.18623","53.85161","63.21977","56.44958","57.99338","66.76177","66.41645","67.33682","70.91588","65.18455","54.86843",NA,"62.07146","57.11702",NA,NA,"66.85074","54.23249",NA,"61.11855","61.16804","52.08559","53.74783","61.97672","62.11848",NA,"75.43155","55.10915","57.26704","63.68903","54.67366","68.57399","65.78496","59.86316","47.65701","69.40856","50.04696","59.08765","60.47988","61.97836","64.70800","72.86023","63.68923","72.73524",NA,"67.92819","51.36367","59.19757","53.05244","61.29983",NA,NA,"65.31234","62.66228","63.83362","65.38205","75.55825","68.61024",NA,"59.41192","67.27691","58.51061","64.48598","56.01586","58.92508","61.55218",NA,"54.08962","68.78055","69.27929","67.58408","59.89450","51.07844","60.41201","64.23387"
"1975","77.14665","51.80100","66.32156",NA,"67.33029","64.66536","58.73746","48.40043","68.62116","61.93197","61.17952","67.23202","62.73666","74.59491","61.09256","67.46147","57.62862","68.28076","61.62608","64.38377","71.88940","67.51445","66.03320",NA,"69.10461","71.07058","64.44979","62.39053","50.00773","62.54451",NA,"78.46201","66.54718","68.10071","65.77482","61.39973","61.49238","60.74914","60.78810","78.29293","55.61095","63.57444","56.35984","55.27104","64.57827","65.39887","67.09955","70.33848","65.67076","53.42182",NA,"59.14441","56.69534",NA,NA,"65.11686","54.67106",NA,"61.14938","59.90742","52.43040","52.55485","60.07125","61.45197",NA,"75.20657","53.82718","58.45737","66.06460","54.18573","69.31937","67.42736","58.36298","49.63883","71.70237","50.43466","62.48836","62.85408","64.62024","67.05567","71.21420","66.21317","70.92445",NA,"66.80341","52.79607","55.38089","55.84010","61.21475",NA,NA,"66.54095","64.15971","60.96030","65.23431","76.15666","67.76230",NA,"60.19475","66.32978","59.73042","65.23649","55.15071","61.01398","63.72356",NA,"52.94445","69.44139","67.89841","66.38661","61.93247","50.17091","60.31540","65.80674"
"1976","77.39373","53.17619","64.82536",NA,"64.53287","67.03257","56.90620","52.27201","67.97331","60.31242","61.85111","66.56155","64.34894","75.45376","64.86431","73.47490","58.85451","67.34760","64.18448","66.47921","72.58434","64.93498","64.18334",NA,"71.74318","74.13287","67.15502","66.15182","52.19145","63.55340",NA,"77.74293","67.15500","67.19251","62.51530","61.08947","59.39683","63.63104","63.27293","81.26841","54.17848","63.14819","54.92064","58.87862","65.68664","66.93818","67.50209","72.02263","64.66142","55.61106",NA,"58.73358","55.70768",NA,NA,"64.96915","57.55340",NA,"64.76725","63.87927","49.06514","55.67366","62.28168","63.72529",NA,"75.10485","51.76362","60.44336","65.07328","55.24715","67.80692","66.83487","61.71362","48.19923","69.12167","49.23795","63.71444","63.35775","64.20885","65.82716","76.53546","66.81598","71.95378",NA,"66.60208","53.00546","54.47943","55.10782","60.38238",NA,NA,"66.73951","65.51147","61.43905","59.44938","76.58637","66.62020",NA,"60.55341","63.97427","59.26367","67.85558","55.60170","58.25291","60.42714",NA,"56.06706","67.82299","68.83411","68.64559","64.00907","55.54018","57.35070","62.31235"
"1977","76.80877","53.49270","63.08388",NA,"68.06734","65.88650","60.98831","51.72078","67.81468","62.25999","62.40335","67.85553","63.50122","73.68041","65.39881","75.36071","59.20342","64.61216","62.89150","62.28540","71.96954","65.55213","65.20209",NA,"69.87117","72.78981","68.62386","64.44317","50.61073","62.57381",NA,"78.51959","68.43641","66.56367","60.12836","61.54025","58.68517","60.39561","57.60292","79.37471","52.82866","59.58713","55.32996","55.68061","65.78019","67.08343","67.33089","69.86035","63.50573","51.67667",NA,"60.55784","58.23950",NA,NA,"67.55819","59.90703",NA,"61.92696","61.64283","52.31050","54.27952","62.16120","65.65464",NA,"72.14993","53.16449","60.35709","68.85336","52.55379","69.17988","66.66061","60.54629","48.40624","74.63820","47.70304","64.45605","61.63612","60.35108","65.85250","75.65225","67.07822","71.53002",NA,"66.93466","54.85642","57.85981","54.64124","63.35690",NA,NA,"64.90452","62.15204","65.44640","59.84845","77.85063","69.41217",NA,"62.83662","63.28499","61.52624","67.90091","53.89981","59.28433","59.85161",NA,"58.22714","68.77038","69.42452","68.23064","61.20633","56.62039","57.85035","63.92129"
"1978","78.44487","56.41862","67.28818",NA,"66.09528","67.89275","59.43671","52.31060","68.64931","58.35140","61.61378","66.58961","64.29256","72.15030","65.47817","73.51072","58.59461","66.67475","62.01901","66.73333","70.28079","64.97423","65.10276",NA,"69.98159","74.78081","65.23658","64.68586","50.98403","63.58671",NA,"78.49551","69.24533","69.08496","61.68875","63.40173","56.54803","62.96411","61.77062","79.34804","56.73575","62.38527","55.65894","59.24830","65.34471","67.81037","67.23030","72.31706","66.03182","55.93920",NA,"61.57372","61.39391",NA,NA,"64.74570","57.23985",NA,"64.10147","65.15442","52.94162","57.92492","62.29462","63.63974",NA,"75.41605","57.83292","56.89945","63.45292","57.76995","69.19110","67.33417","60.42284","63.21892","75.57945","48.34169","66.17863","60.10809","61.12069","66.87349","75.54340","66.06996","69.90310",NA,"67.69770","50.69625","57.92772","55.16917","62.71322",NA,NA,"64.95850","62.88827","65.17593","62.95052","77.29192","65.45472",NA,"67.88483","66.19185","60.09101","65.52134","57.70286","59.94211","64.67975",NA,"56.93732","69.39114","69.82107","71.00425","62.15703","55.13840","59.63738","63.68877"
"1979","78.10341","57.66265","67.21036",NA,"67.35175","68.28308","56.95766","54.21075","68.35534","56.03548","58.45032","70.11735","64.71191","74.52541","68.66409","69.07980","60.68627","68.92439","60.82874","67.31050","70.98016","64.73528","65.24067",NA,"71.64863","76.01388","64.35784","62.86281","52.59042","64.57865",NA,"78.86918","67.93147","67.34602","64.25949","61.88422","57.59552","61.76216","61.23538","77.17707","51.51240","59.14348","59.24922","57.42502","66.57668","67.01140","68.63430","68.75131","67.34427","53.27133",NA,"60.70159","59.95702",NA,NA,"65.64981","56.78060",NA,"64.61508","63.44922","51.48588","58.23955","61.35675","62.87448",NA,"75.12836","53.98250","61.43842","70.66191","55.11467","68.75289","68.14291","59.15005","58.10241","74.66810","50.46762","66.95662","61.71798","61.82722","67.75751","77.35288","68.29403","71.35229",NA,"66.58984","52.98766","58.53201","59.17015","64.70964",NA,NA,"65.39934","65.00138","64.39635","63.54069","79.25995","68.67893",NA,"63.77722","67.45305","61.34864","66.75646","54.54925","57.70240","55.56485",NA,"55.51926","69.16814","68.28382","68.77714","61.99852","54.23511","56.96558","64.13859"
